DATE,CARBON_INTENSITY
2023-07-22,110.52083333333333
2023-07-23,81.58333333333333
2023-07-24,165.25
2023-07-25,202.29166666666666
2023-07-26,179.72916666666666
2023-07-27,157.6875
2023-07-28,191.0625
2023-07-29,87.97916666666667
2023-07-30,89.33333333333333
2023-07-31,104.39583333333333
2023-08-01,138.66666666666666
2023-08-02,94.10416666666667
2023-08-03,107.625
2023-08-04,182.27083333333334
2023-08-05,161.625
2023-08-06,88.625
2023-08-07,121.8125
2023-08-08,139.45833333333334
2023-08-09,186.47916666666666
2023-08-10,193.33333333333334
2023-08-11,111.41666666666667
2023-08-12,92.02083333333333
2023-08-13,113.625
2023-08-14,162.22916666666666
2023-08-15,195.0625
2023-08-16,227.9375
2023-08-17,157.14583333333334
2023-08-18,136.08333333333334
2023-08-19,86.14583333333333
